match_date,match_day
"['12th', 'May']",Sunday
"['10th', 'May']",Friday
"['8th', 'May']",Wednesday
"['7th', 'May']",Tuesday
"['5th', 'May']",Sunday
"['4th', 'May']",Saturday
"['3rd', 'May']",Friday
"['2nd', 'May']",Thursday
"['1st', 'May']",Wednesday
"['30th', 'April']",Tuesday
"['29th', 'April']",Monday
"['28th', 'April']",Sunday
"['27th', 'April']",Saturday
"['26th', 'April']",Friday
"['25th', 'April']",Thursday
"['24th', 'April']",Wednesday
"['23rd', 'April']",Tuesday
"['22nd', 'April']",Monday
"['21st', 'April']",Sunday
"['20th', 'April']",Saturday
"['19th', 'April']",Friday
"['18th', 'April']",Thursday
"['17th', 'April']",Wednesday
"['16th', 'April']",Tuesday
"['15th', 'April']",Monday
"['14th', 'April']",Sunday
"['13th', 'April']",Saturday
"['12th', 'April']",Friday
"['11th', 'April']",Thursday
"['10th', 'April']",Wednesday
"['9th', 'April']",Tuesday
"['8th', 'April']",Monday
"['7th', 'April']",Sunday
"['6th', 'April']",Saturday
"['5th', 'April']",Friday
"['4th', 'April']",Thursday
"['3rd', 'April']",Wednesday
"['2nd', 'April']",Tuesday
"['1st', 'April']",Monday
"['31st', 'March']",Sunday
"['30th', 'March']",Saturday
"['29th', 'March']",Friday
"['28th', 'March']",Thursday
"['27th', 'March']",Wednesday
"['26th', 'March']",Tuesday
"['25th', 'March']",Monday
"['24th', 'March']",Sunday
"['23rd', 'March']",Saturday
