book_name,book_price,book_rating
"Principles of Marketing 15 Edition",629,4.3
"Bank Marketing in the Changing Landscape of Retail Bank...",250,4.3
"Time Management",65,4.4
"Magbook Indian Economy 2020",134,4.4
"Eat that Frog! - 21 Great Ways to Stop Procastinating a...",165,4.6
"Zero to One - Notes on Start Ups, or How to Build the F...",346,4.4
"Intermediate Microeconomics",350,4.5
"A Complete Study Pacakage for Mca Entrances",475,4.4
"Business School (only Book, Without Audio Cd)",129,4.4
"Banking Awareness",86,4.2
"Rich Dads Business School For People Who Like Helping P...",157,4.5
"Questions are the Answers",75,4.3
"Nta UGC (Net/Jrf/Set) Management 2019",390,4.4
"Macroeconomics : Theory and Policy",459,4.2
influence,380,4.4
"T.S. Grewal's Double Entry Book Keeping: Accounting for...",420,4.4
"How to Prepare for Verbal Ability and Reading Comprehen...",637,4.5
"Romancing the Balance Sheet: For Anyone Who Owns, Runs ...",555,4.5
"The CEO Factory",374,4.7
"Services Marketing",589,5
"Indian Financial System",486,4.5
"Steve Jobs",349,4.6
"Who Moved My Cheese",131,4.5
"Human Resource Management",689,4.4
"Blue Ocean Strategy, Expanded Edition",817,4.6
"How to Prepare for Quantitative Aptitude for the CAT",667,4.5
"Bechana Seekho Aur Safal Bano",210,4.4
"How to Win Friends & Influence People - The First and S...",125,4.5
"Ibps and Sbi Bank Po Solved Papers Pre and Main",345,4.2
Buffettology,366,4.6
"The Anarchy",442,4.8
"Learn to Earn",339,4.1
"Cracking the Csat Paper-2 - Includes Solved Papers 2017...",557,4.3
"Cash Flow Quadrant",203,4.6
"Quantitative Aptitude & Data Interpretation Topic-Wise ...",147,4.3
"The Tipping Point",269,4.4
"Elementary Algebra for Schools",109,4.4
"Know Your State Odisha",166,4.6
"Poor Economics - WINNERS OF THE NOBEL PRIZE IN ECONOMIC...",292,4.6
"English Language Topic-Wise Solved Papers for Ibps/ Sbi...",140,4.3
"Bank Po Solved Papers English Language 2019",192,4.4
"The Law of Success in Sixteen Lessons",259,4.5
"Legal and Regulatory Aspects of Banking",440,4.5
"Principles of Marketing 15 Edition",629,4.3
"Statistical Methods (Combined Volume)",488,4.5
"Big Billion Startup: The Untold Flipkart Story",396,4.6
"General Awareness, Banking & Economy Topic-Wise Solved ...",111,4.2
"30 Practice Sets Ibps Bank Po/Mt Preliminary Examinatio...",205,4.3
"Aap IAS Kaise Banegain",195,4.3
"Bank Marketing in the Changing Landscape of Retail Bank...",250,4.3
"Indian Economy Key Concepts",154,4.5
"Rrb Ntpc Guide 2019 Hindi",172,4.3
Catalyst,197,4.5
"Macroeconomics : Theory and Policy",459,4.2
"Mind Master",361,4.7
"Food and Beverage Services, Second edition",695,4.5
"Romancing The Balance Sheet",350,4.3
"Smarter Faster Better",456,3.8
"The Manual for Indian Start-Ups - Tools to Start and Sc...",250,4.3
"Services Marketing",589,5
"Organizational Behaviour by Pearson 18e",594,4.6
"Nta UGC Net Mass Communication and Journalism 2019",276,4.5
"Human Resource Management",689,4.4
"Rrbs Group - D Ntpc Chapterwise Solved Papers Ganit 201...",91,4.4
"The McKinsey Way",327,4.3
"The Lean Startup",160,4.3
Principles,828,4.8
"Accounting & Finance for Bankers",385,4.5
"The 4-Hour Work Week: Escape the 9-5, Live Anywhere and...",145,4.3
"Business School",185,4.5
"30 Practice Sets Rrb Ntpc CBT (Stage -1) Practice Sets ...",155,4.3
"Naye Zamane Ka Naya Business",199,4.4
"HBR's 10 Must Reads on AI, Analytics, and the New Machi...",487,4.2
"Financial Management, Theory and Practice",528,4.4
"Advance Bank Management",597,4.5
"MBA Kiye Bina Seekhe Business Ke Hunar ( Hindi Translat...",399,4.4
"Atomic Habits",215,4.2
"50 Practice Sets Quantitative Aptitude",159,4.3
"Human Resource Management, Text & Cases Eight Edition",540,4.4
"I Do What I Do Ka Hindi Anuvaad",269,4.3
"Study Guide Ntse (Mat + Sat) for Class 10th",375,4.3
"The Entrepreneur Mind",295,4.5
"Principles of Marketing 15 Edition",629,4.3
Macroeconomics,400,4.5
"From Oberoi to Oyo",236,4.7
"Disrupt! - 100 Lessons in Business Innovation",419,3.9
"The Mother of All Jobs",349,4.4
"Judo Jodo Aur Jeeto (Network Marketing) H Hindi",180,4.4
"Bank Marketing in the Changing Landscape of Retail Bank...",250,4.3
"IAS Pcs Samanya Adhhyyan Solved Papers",504,4.3
"Rrb Group-D Level 1 Guide 2019",166,4.3
"Beyond Asanas",263,4.8
"Macroeconomics : Theory and Policy",459,4.2
"Principles and Practices of Banking",535,4.5
